,Year,Month,Day,Hour,Cloud_cover,Wind_speed,Temperature,Pressure,Precipitation,Season,comp_0,comp_1,comp_2,comp_3,comp_4
0,2019,1,1,0,8,3,0.1,999.6,0.0,4,0.17871033780002107,-1.703372739055323,-0.06667166386213368,1.1361773890989553,-0.7714101611242281
1,2019,1,1,1,8,3,0.8,999.4,0.0,4,0.17141761806620018,-1.6280836358111515,-0.06709184322640661,1.1134419171301508,-0.8005223721934357
2,2019,1,1,2,5,4,0.8,998.1,0.0,4,-0.2640572682780116,-1.1947907872762324,-0.15359153627556174,1.283405701937282,0.16840486285709366
3,2019,1,1,3,5,3,-0.8,996.7,0.0,4,-0.3365055717112567,-1.4696216262684245,-0.03376293367011656,0.8767159501757796,0.16340836263615752
4,2019,1,1,4,3,3,-1.0,995.7,0.0,4,-0.747160585865232,-1.3080340747650143,-0.006594811710343918,0.7815430667034688,0.7225531073783851
5,2019,1,1,5,7,3,-0.3,994.5,0.0,4,0.2583369418738871,-1.4881522377260588,-0.07736918899554807,0.6922419133709188,-0.26721047975048773
6,2019,1,1,6,7,4,0.5,994.0,0.0,4,0.4671456062784891,-1.2236425237273592,-0.2078297444930393,0.9404399752467523,-0.1325695689081426
7,2019,1,1,7,8,4,0.8,993.1,0.0,4,0.7511574487334484,-1.2351532139943258,-0.22854421135542924,0.8651503119858132,-0.35966044505029154
8,2019,1,1,8,8,3,1.2,992.1,0.0,4,0.5994449103120966,-1.3294307346744059,-0.10484480084467873,0.47769204121151826,-0.49181714241313323
9,2019,1,1,9,8,2,1.8,990.9,0.0,4,0.4542410748714011,-1.397114964581017,0.0179887760110954,0.07135704301996956,-0.6258236068329709
10,2019,1,1,10,8,3,2.5,989.7,0.0,4,0.7079124760505523,-1.1174420328282049,-0.11621524414392993,0.2596605502178673,-0.4540369702714869
11,2019,1,1,11,8,5,3.3,988.1,0.0,4,1.1836998974006836,-0.6449910074281874,-0.380981688117797,0.7102309764620403,-0.11396960652517858
12,2019,1,1,12,7,6,4.8,986.0,0.2,4,1.2823124856388866,-0.15324304817593082,-0.2506523127399511,0.8543938682577502,0.33083989341298936
13,2019,1,1,13,8,5,4.7,985.2,0.0,4,1.3194803587619057,-0.40547572862482884,-0.39487323898704757,0.44809466256648106,-0.0590038968167096
14,2019,1,1,14,8,8,4.9,984.2,0.0,4,1.9765594317513937,0.15600442403743758,-0.7856055459304556,1.2530003982122757,0.4422355629924192
15,2019,1,1,15,8,8,5.3,983.5,0.0,4,2.007620745812033,0.21986345426219112,-0.7889033562972916,1.1892470989828097,0.4521188446999166
16,2019,1,1,16,8,9,5.2,983.2,0.0,4,2.229242699035462,0.38960574002853077,-0.9191219941467845,1.4617241306480258,0.6267769442155632
17,2019,1,1,17,8,8,5.3,982.3,0.0,4,2.079796378209356,0.26255324897346544,-0.7951679285248258,1.0852477214029557,0.5064501079858832
18,2019,1,1,18,8,8,5.4,982.0,2.0,4,2.605607110652334,0.5769534374470573,1.725708534998885,1.509056385297682,0.7587051263171217
19,2019,1,1,19,8,7,3.3,981.6,0.0,4,1.9762867607154695,-0.07613662024349299,-0.6720415155525448,0.7423112688709276,0.4915703260574518
20,2019,1,1,20,7,8,3.9,981.2,0.0,4,1.9464403863872055,0.23808280965714745,-0.7858748548145283,0.995694326710833,0.8840704664302574
21,2019,1,1,21,7,5,3.3,980.5,0.0,4,1.402651264131723,-0.30187678380732397,-0.40437388195935237,0.04654313513479686,0.4816102514855642
22,2019,1,1,22,8,13,2.9,979.8,0.0,4,3.300497910970496,0.9617954193428109,-1.4531750809332233,2.375629961041585,1.528613945546687
23,2019,1,1,23,8,10,2.5,979.5,0.0,4,2.727129675497001,0.42708421929616663,-1.069407655619256,1.4596017308382316,1.0971383319020094
24,2019,1,2,0,8,9,2.1,980.0,2.9,4,3.247544180806596,0.627814592361366,2.7188219631083537,1.8616580462611663,1.2946682682528614
25,2019,1,2,1,8,7,1.7,979.5,0.0,4,2.1467586700953127,-0.1572560794048034,-0.6844306106809644,0.5726603406710534,0.6738898576451602
26,2019,1,2,2,8,7,0.6,978.9,0.0,4,2.2132096162645905,-0.24304196948456744,-0.6885433362342682,0.5291498898944714,0.7610328661137661
27,2019,1,2,3,8,7,0.5,978.3,0.0,4,2.252057717006035,-0.23143623462305768,-0.691764753206175,0.4779219500148485,0.7936509865590788
28,2019,1,2,4,8,8,0.5,978.0,0.0,4,2.4709193856866802,-0.05195478636259115,-0.8218942601975278,0.7496272327697602,0.9628565972723957
29,2019,1,2,5,8,8,0.6,978.3,0.0,4,2.4501151930445695,-0.052888072546280536,-0.8202389862825049,0.7748553282544146,0.9438212926485773
30,2019,1,2,6,8,8,1.2,979.1,1.0,4,2.640699951966203,0.12408132792845697,0.44564891821258334,1.0648478817791573,0.9969478632999947
31,2019,1,2,7,8,8,1.3,980.3,0.0,4,2.3105004805828866,-0.05586359293950963,-0.8091741165629706,0.9427853818487025,0.8151017655556643
32,2019,1,2,8,8,7,0.9,981.1,0.0,4,2.0726067699078183,-0.2920891056395201,-0.6767908945760369,0.7175001687266214,0.6450680836825077
33,2019,1,2,9,8,8,1.1,981.2,0.0,4,2.2618893253704577,-0.10735926396122229,-0.8046539491085991,1.0223284128542058,0.7852582956958456
34,2019,1,2,10,8,8,1.0,981.2,0.0,4,2.264649609913241,-0.11709842645534978,-0.8047430799667388,1.0231001617645104,0.790710784498175
35,2019,1,2,11,8,7,1.2,981.5,0.0,4,2.0402673721470297,-0.27710154972756157,-0.6744353112591067,0.7498513811889903,0.6106001961801996
