data,Cloud_cover,Wind_speed,Temperature,Pressure,Precipitation,Season,comp_0,comp_1,comp_2,comp_3,comp_4
2019-01-01,7.333333333333333,5.625,2.5499999999999994,988.3708333333334,0.09166666666666667,4,1.709406652816122,-1.0041300283137795,-0.4104417995284656,0.8990359030146171,-0.12412939750749813
2019-01-02,7.833333333333333,6.875,0.3791666666666668,983.7083333333334,0.19583333333333333,4,2.7187711706202498,-0.7696069389675143,-0.7388834353801658,1.2076122180719513,0.26498230323038374
2019-01-03,6.958333333333333,5.708333333333333,-2.6625,993.5208333333334,0.024999999999999998,4,1.501121483023759,-1.910966244755123,-0.20230091766375427,1.1128889059036216,0.04612188774545659
2019-01-04,7.583333333333333,4.25,-3.2250000000000014,995.8249999999999,0.016666666666666666,4,1.1758462131067164,-2.001402343299236,0.5740835284767304,0.6058614569142821,-0.33465763217290756
2019-01-05,7.791666666666667,5.166666666666667,0.7083333333333334,984.4333333333333,0.2041666666666667,4,2.189997506195025,-0.6037168151583732,0.01822219000482085,0.5686991088025024,0.1257008333787196
2019-01-06,7.875,4.0,-2.9541666666666657,992.3291666666668,0.016666666666666666,4,1.3575346139581899,-1.7771787780158037,0.5229422195086325,0.21807495177830827,-0.3281389565825434
2019-01-07,6.291666666666667,1.625,-5.745833333333334,998.4541666666665,0.0,4,0.018614037628990904,-2.1245705122546203,1.7453428616716156,-0.30151443075528855,-0.03383639806339122
2019-01-08,7.5,1.6666666666666667,-2.8166666666666664,978.5916666666667,0.16666666666666666,4,1.5308886820900247,-0.37134839544630827,1.212700642342536,-1.4869748217828636,0.40176199914281674
2019-01-09,7.833333333333333,1.5833333333333333,0.22499999999999998,973.7333333333331,0.07916666666666666,4,1.5648813335664473,-0.10223671526874682,0.6725779710768551,-2.0372425756125336,0.1561829524467875
2019-01-10,8.0,2.0416666666666665,-2.9124999999999996,985.8375,0.08333333333333333,4,1.2845138252817205,-1.0620295302821257,1.2225610772277469,-0.9774868386411131,-0.1489243810886723
2019-01-11,7.5,3.375,-5.0875,988.3499999999999,0.012499999999999999,4,1.3695671335533255,-1.6851402621292804,0.6334490534128452,-0.3788154730176247,0.05159298589983654
2019-01-12,7.625,5.583333333333333,0.7874999999999998,981.1333333333332,0.05000000000000001,4,2.1694237447936535,-0.8870467690407055,-0.7648995864104619,0.18483932640274456,0.12013770539587293
2019-01-13,7.791666666666667,5.541666666666667,2.141666666666667,969.7999999999997,0.15000000000000002,4,2.881784094073894,0.12562115548075622,-1.0600474939577151,-0.481747605987965,0.5712636888782903
2019-01-14,6.583333333333333,8.5,0.5041666666666665,966.0749999999999,0.24999999999999997,4,3.78019427848737,0.254835157248608,-2.239174689839523,0.7320762301472137,1.5831928753738793
2019-01-15,7.416666666666667,8.083333333333334,-0.6541666666666666,977.65,0.10416666666666667,4,3.1407455534734745,-0.881277599688915,-1.789821454089804,1.0686962553128538,0.6705526422398443
2019-01-16,7.416666666666667,5.833333333333333,2.2875,979.5791666666665,0.37916666666666665,4,2.7211060949333055,0.24687709913675043,-0.10485910323099887,0.8936336714007149,0.6408209806778111
2019-01-17,6.541666666666667,3.25,3.0499999999999994,976.1499999999997,0.0,4,1.2584556030993026,-0.31775175991462673,-0.3548846935923417,-1.1717482116501585,0.31840409654636204
2019-01-18,6.875,5.083333333333333,1.3125,984.2875,0.09166666666666667,4,1.6889529695151086,-0.8225339326413929,-0.37173708841007413,0.36114312500561113,0.2417856943873475
2019-01-19,2.25,1.4583333333333333,-3.229166666666666,991.9541666666665,0.0,4,-1.0204433386210576,-1.3910459289399624,1.0478686443098388,-0.5614270244378495,1.4410399809372334
2019-01-20,5.208333333333333,1.2083333333333333,-4.645833333333334,988.9791666666666,0.0,4,0.009027600057457731,-1.438726399490409,1.3207540694753837,-1.1144836996433245,0.6207808993294265
2019-01-21,6.708333333333333,0.75,-7.8208333333333355,992.9083333333333,0.0,4,0.2799383175964889,-1.938036425267941,1.9619975501395899,-1.1656362375806752,0.12268950286264661
2019-01-22,7.416666666666667,2.5416666666666665,-7.108333333333332,985.7125,0.0,4,1.3229023795322814,-1.6724532754777062,0.89385996219182,-0.9941890809057785,0.2439769601674502
2019-01-23,8.0,5.791666666666667,-5.154166666666668,977.35,0.0,4,2.73574733105549,-1.3627348361204397,-0.902889485807576,-0.26406898553150465,0.47265311278694905
2019-01-24,8.0,6.708333333333333,-6.041666666666668,980.6708333333335,0.0,4,2.865612549822753,-1.7002221947043998,-1.089316106968582,0.36059637845853626,0.45790285333865033
2019-01-25,7.916666666666667,3.6666666666666665,-5.420833333333333,982.9208333333335,0.025000000000000005,4,1.8875366766212736,-1.4247320429927002,0.3315439935935872,-0.6809483310366874,0.18653007412499406
2019-01-26,7.958333333333333,2.0833333333333335,-3.2624999999999997,977.8958333333335,0.008333333333333333,4,1.5821987164530462,-0.8760689293032052,0.6198901388674327,-1.7298438116659807,0.10480016904763148
2019-01-27,7.0,1.9583333333333333,0.6041666666666666,970.1624999999999,0.0,4,1.456061350991007,-0.10333772974428042,0.03340432826383384,-2.2558034517723016,0.47450658312253596
2019-01-28,7.083333333333333,1.7916666666666667,-0.09583333333333328,967.370833333333,0.24166666666666667,4,2.0041003838417137,0.6875909377824574,0.6776964059905934,-2.0613495520705536,0.9356106663698753
2019-01-29,5.5,2.2083333333333335,-0.17083333333333325,975.2125000000001,0.0,4,0.8601802184498337,-0.40969136758062347,0.0761834549213467,-1.6807446268654178,0.8527523920404205
