,Time,Adres,Miasto,dlug,szer,Miejsce.zdarzenie,Rodzaj.zdarzenia,ucz1,ucz1_plec,ucz1_pod_wplywem,Ucz1DOB,ucz2,ucz2_plec,ucz2_pod_wplywem,Ucz2DOB,dzielnica,rok,miesiac,dzien,godzina,dzien_tyg,dzien_tyg_name
404,2019-11-18 17:10:00,KRAKÓW LEA  / CHOCIMSKA,Kraków,19.9368564,50.0619474,1,3,1,2,1,28,2,2,1,48,Stare Miasto,2019,11,18,17,0,Monday
405,2019-11-18 17:09:00,KRAKÓW JÓZEFIŃSKA  / PIWNA,Kraków,19.9530885,50.0456768,1,1,1,2,1,12,1,2,1,24,Podgórze,2019,11,18,17,0,Monday
406,2019-11-19 18:15:00,KRAKÓW ALEJA 29 LISTOPADA  94,Kraków,19.955913513023926,50.08796455,5,1,1,2,1,48,2,2,1,70,Prądnik Czerwony,2019,11,19,18,1,Tuesday
407,2019-11-20 14:15:00,KRAKÓW DIETLA  103,Kraków,19.94674772810876,50.0574086,3,1,1,2,1,43,2,2,1,29,Stare Miasto,2019,11,20,14,2,Wednesday
408,2019-11-22 08:30:00,KRAKÓW OPOLSKA  / ŁOKIETKA,Kraków,19.9345299,50.0916023,1,1,1,2,1,35,2,2,1,26,Prądnik Biały,2019,11,22,8,4,Friday
409,2019-11-25 15:20:00,KRAKÓW LUBOMIRSKIEGO  / RAKOWICKA,Kraków,19.9569894,50.06706060000001,2,1,1,2,1,31,2,2,1,47,Grzegórzki,2019,11,25,15,0,Monday
410,2019-11-28 14:50:00,KRAKÓW PLAC MARIACKI  1,Kraków,19.9396203,50.0620404,3,6,1,1,1,22,0,0,0,0,Stare Miasto,2019,11,28,14,3,Thursday
411,2019-11-29 10:55:00,KRAKÓW FOCHA  / NA BŁONIACH,Kraków,19.9216369,50.0588264,1,4,1,2,1,31,2,2,1,76,Zwierzyniec,2019,11,29,10,4,Friday
412,2019-11-29 16:18:00,KRAKÓW ALEJA POKOJU  / WĘŻYKA,Kraków,19.9893205,50.064083200000006,1,1,1,1,1,55,2,1,1,46,Czyżyny,2019,11,29,16,4,Friday
413,2019-11-22 10:00:00,KRAKÓW DŁUGA  / SŁOWIAŃSKA,Kraków,19.9362,50.072,1,1,1,2,1,29,2,0,1,0,Stare Miasto,2019,11,22,10,4,Friday
414,2019-12-01 08:20:00,KRAKÓW KOBIERZYŃSKA  / SĄSIEDZKA,Kraków,19.9156319,50.0283315,1,1,1,2,1,44,2,2,1,70,Dębniki,2019,12,1,8,6,Sunday
415,2019-12-03 12:25:00,KRAKÓW SZPITALNA  8,Kraków,19.940641600000006,50.062164,1,8,1,2,1,63,2,0,0,0,Stare Miasto,2019,12,3,12,1,Tuesday
416,2019-12-03 16:30:00,KRAKÓW DŁUGA  / SZLAK,Kraków,19.9362,50.072,1,1,1,2,1,47,2,2,1,69,Stare Miasto,2019,12,3,16,1,Tuesday
417,2019-12-04 16:15:00,KRAKÓW KRUPNICZA  27,Kraków,19.9296629,50.0634871,1,1,1,2,1,21,2,2,1,67,Stare Miasto,2019,12,4,16,2,Wednesday
418,2019-12-05 08:50:00,KRAKÓW GARNCARSKA  / STUDENCKA,Kraków,19.9277117,50.0626415,1,1,1,2,1,16,2,2,1,34,Stare Miasto,2019,12,5,8,3,Thursday
419,2019-12-06 15:59:00,KRAKÓW GROTA ROWECKIEGO  / NORYMBERSKA,Kraków,19.9187361,50.0319928,1,1,1,2,1,0,0,0,0,0,Dębniki,2019,12,6,15,4,Friday
420,2019-12-07 09:10:00,KRAKÓW RACŁAWICKA  / MŁYNÓWKA KRÓLEWSKA,Kraków,19.9206199,50.0772475,6,6,1,1,1,27,0,0,0,0,Krowodrza,2019,12,7,9,5,Saturday
421,2019-12-09 18:10:00,KRAKÓW GROTTGERA  / BIERNACKIEGO,Kraków,19.9293048,50.0717751,1,1,1,2,1,34,2,2,1,42,Krowodrza,2019,12,9,18,0,Monday
422,2019-12-10 16:31:00,KRAKÓW PRANDOTY  / RAKOWICKA,Kraków,19.9553353,50.0766319,1,1,1,2,1,36,2,1,1,55,Stare Miasto,2019,12,10,16,1,Tuesday
423,2019-12-11 10:20:00,KRAKÓW BROŻKA  / CEGIELNIANA,Kraków,19.9268681,50.0304228,2,1,1,2,1,41,2,2,1,62,Dębniki,2019,12,11,10,2,Wednesday
