data,Visibility,Cloud_cover,Wind_speed,Temperature,Pressure,Precipitation,Insolation,Season,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6
2019-01-01,16424.041666666668,7.291666666666667,6.75,5.2541666666666655,1003.3291666666668,0.10833333333333334,0.008333333333333333,4,2.0649533883520883,-0.09073141071291435,1.73025296868939,0.0911644763580013,-0.16053355527386776,0.20710377133758537,0.026939046134326655
2019-01-02,13396.958333333334,7.0,9.583333333333334,1.7458333333333336,1010.4458333333333,0.30416666666666664,0.0,4,2.7294967942197315,-0.24811159901105106,2.953825158351891,1.679296181918586,1.2406885929243174,1.2013030092572559,0.04110551736600406
2019-01-03,14534.375,6.375,8.083333333333334,0.7458333333333335,1023.7791666666664,0.10833333333333334,0.0375,4,1.6392825198674215,-1.5149630570469088,1.628360644475717,1.8423648108813941,0.2655984951559821,1.0652095305227538,-0.028207014349466555
2019-01-04,14277.708333333334,7.583333333333333,3.4166666666666665,0.4916666666666667,1018.7125000000001,0.012500000000000002,0.0,4,1.5961288031303547,-0.7127162869845974,-0.9522617767451699,0.8098457699134073,-0.8721724969704623,-0.3698923755798633,0.24089097891611805
2019-01-05,18373.666666666668,6.875,6.375,3.141666666666666,1012.9791666666665,0.12916666666666668,0.10000000000000002,4,1.3242961019673507,-0.37220988719675074,1.473866030485689,0.9806553121628895,-0.2240830569113638,0.013835703240856983,0.3229398251188626
2019-01-06,18910.958333333332,7.125,4.541666666666667,-0.8791666666666665,1024.2166666666665,0.004166666666666667,0.0,4,1.1320263236652859,-1.242545580226905,-0.008718080713063537,1.4842526617185348,-1.233467635765281,-0.4846533687172243,0.15186065894868134
2019-01-07,10077.166666666666,7.875,4.208333333333333,-0.3666666666666664,1022.0458333333331,0.029166666666666664,0.0,4,2.0514247076201158,-1.0240267650727173,-1.065111122738357,1.0858914835400784,-0.3479981042867866,0.3965873217499972,0.3282198135628302
2019-01-08,3951.0833333333335,8.0,6.208333333333333,0.9250000000000002,997.7041666666668,0.041666666666666664,0.0,4,3.566046529561447,-0.6350347131995154,0.13794384145284164,-0.9117074798694899,1.0440642150929413,0.94133858514222,0.3382457046398624
2019-01-09,5075.333333333333,8.0,3.3333333333333335,0.6166666666666668,1003.6999999999998,0.020833333333333332,0.0,4,2.928107629900752,-0.29588846717719797,-1.5319381661816664,-0.6606281590590726,0.3837152673607557,0.11793818080575334,0.3677992030259313
2019-01-10,8255.0,7.541666666666667,3.125,-1.6166666666666665,1017.4791666666669,0.004166666666666667,0.0,4,2.1843284821136404,-0.9306621532589443,-1.747945276447625,0.5256319225891624,-0.13464946151834645,-0.036430795282263465,0.29797163514956443
2019-01-11,9526.5,6.583333333333333,4.416666666666667,-0.6124999999999998,1009.9458333333333,0.029166666666666664,0.049999999999999996,4,2.0831857545778627,-0.8498148070644004,-0.6079008652091751,0.05828384159595893,0.4064170712849313,-0.06190109465210768,0.1825387091975295
2019-01-12,15282.541666666666,5.625,3.5833333333333335,1.15,1002.6458333333335,0.0,0.029166666666666664,4,1.461743359008351,-0.4403296541172345,-0.227993095480422,-0.5694086732296639,-0.15322436606172923,-1.1528038120541764,-0.19683441683159122
2019-01-13,18611.916666666668,6.75,3.9166666666666665,3.5124999999999997,986.5583333333334,0.012500000000000002,0.029166666666666664,4,1.9289725130585675,0.4293936529976344,0.8164785997849336,-1.6989980575559502,-0.5186165813059198,-1.6397339157738182,0.09169829028787203
2019-01-14,19728.125,6.166666666666667,7.708333333333333,2.016666666666666,985.9000000000001,0.07083333333333333,0.1125,4,2.0816669397660865,-0.24066115287481782,3.1273144457295876,-1.2471883669796278,0.36478319030910616,-0.7960634290565763,0.268898543008269
2019-01-15,17326.708333333332,4.333333333333333,6.708333333333333,2.1958333333333324,996.1500000000002,0.029166666666666664,0.23749999999999996,4,0.9726698532340736,-0.8116984029350633,2.0092343493754745,-0.9268772842641103,0.8514857293743564,-0.6261106083514746,0.15361556807585364
2019-01-16,16285.041666666666,7.0,3.8333333333333335,3.3666666666666667,999.6124999999998,0.0625,0.0,4,1.8634524752485384,0.2669046992021269,0.16532231112721105,-0.5150986358264116,-0.45533998207662013,-0.9880943727892184,0.026490529323813208
2019-01-17,19948.291666666668,7.125,5.125,4.316666666666666,994.0166666666665,0.0,0.0,4,1.8350472121042032,-0.022383803210753096,1.375465916083432,-1.0362097168774491,-0.8839331314020294,-1.032515533851742,0.022434516411399614
2019-01-18,19380.125,4.291666666666667,5.5,0.42916666666666675,1006.9458333333333,0.06666666666666667,0.16666666666666666,4,0.615872707007747,-0.7731871028530302,1.258579544415974,0.1967343499689172,0.34290015086603903,-1.0537145224870426,-0.04608712085316544
2019-01-19,18091.291666666668,4.583333333333333,4.208333333333333,-0.6333333333333332,1016.8250000000002,0.0,0.19583333333333333,4,0.22658108068006685,-1.2357989424407847,0.021284434525760402,0.5935240977534283,-0.08012406751364023,-0.9706581756501091,0.1536284889325591
2019-01-20,15188.708333333334,4.958333333333333,3.7916666666666665,-0.6458333333333334,1016.9375,0.004166666666666667,0.15833333333333333,4,0.604453123196141,-1.1399397408509402,-0.5342298319912839,0.5309946460778825,0.05714864094162371,-0.7601570774382139,0.11782971444775178
2019-01-21,10525.375,5.75,3.3333333333333335,-2.108333333333333,1018.125,0.0,0.0,4,1.5876289093141736,-1.2005968617471172,-1.381140541568054,0.6160204911255133,0.09501791321332474,-0.44976805204357023,-0.19583998222355598
